pressurec2,energy_densityc2,baryon_density,cs2c2
5.265539630332740234e+12,2.904074823563241250e+14,2.852781402716226250e+14,4.671827403069706702e-02
5.438397428464726562e+12,2.940600741816230625e+14,2.888012949377071250e+14,4.801077032301490077e-02
5.616929824163756836e+12,2.977260849300827500e+14,2.923353193756841875e+14,4.947386051521339423e-02
5.801323103833348633e+12,3.013956678787318125e+14,2.958706720316358125e+14,5.111406364818521508e-02
5.991769669310614258e+12,3.050596729915790625e+14,2.993984980452893125e+14,5.292985702012142912e-02
6.188468238624317383e+12,3.087104483205736875e+14,3.029113992897797500e+14,5.490590893651017823e-02
6.391624053343958984e+12,3.123428954294760000e+14,3.064044461960104375e+14,5.701335127850980233e-02
6.601449092734871094e+12,3.159548092806206875e+14,3.098754985239946250e+14,5.920936982772127821e-02
6.818162294944392578e+12,3.195475158067592500e+14,3.133258106709523750e+14,6.143077342662039975e-02
7.041989785449229492e+12,3.231266351739273125e+14,3.167607552155436250e+14,6.359865523653190911e-02
7.273165113001424805e+12,3.267019271468486250e+14,3.201896631978293125e+14,6.562486677447698646e-02
7.511929493320856445e+12,3.302873375149173750e+14,3.236258570617860000e+14,6.740693662253199880e-02
7.758532060787753906e+12,3.339017726070409375e+14,3.270873801687018125e+14,6.883803652903236481e-02
8.013230128396836914e+12,3.375687190911069375e+14,3.305966179582931875e+14,6.982585126446466672e-02
8.276289456246329102e+12,3.413158990561020625e+14,3.341799535075576250e+14,7.028909910879173328e-02
8.547984528840305664e+12,3.451763618548925000e+14,3.378687965827740625e+14,7.015702586538513641e-02
8.828598841495076172e+12,3.491893571654711250e+14,3.417003991388501250e+14,6.938702955552922269e-02
9.118425196146535156e+12,3.534006637599868750e+14,3.457181475098041250e+14,6.796913570647679370e-02
9.417766006869388672e+12,3.578640216280910000e+14,3.499729043287448750e+14,6.590522428622114237e-02
9.726933615426076172e+12,3.626453494166046875e+14,3.545269970102555625e+14,6.391696722814199649e-02
1.004625061717335156e+13,3.677034856862546250e+14,3.593406795720354375e+14,6.301004756671822749e-02
1.037605019766909961e+13,3.729478626563853125e+14,3.643273164087536250e+14,6.184272466060171392e-02
1.071667648032850781e+13,3.785570464369305625e+14,3.696561702825817500e+14,5.773727996748793945e-02
1.106848488549403906e+13,3.850379987112980000e+14,3.758077531074555000e+14,5.193588870317208950e-02
1.143184250129145898e+13,3.924136857387231250e+14,3.828022847623480625e+14,5.339806614838292498e-02
1.180712846666174023e+13,3.989880992355576250e+14,3.890312501326577500e+14,8.304568233573234037e-02
1.219473436696726758e+13,4.029202311759773750e+14,3.927533094171202500e+14,1.939075575510409988e-01
1.259506464258351367e+13,4.046224746581771250e+14,3.943630810763403125e+14,4.081990763632675212e-01
1.300853701090551172e+13,4.054605150921860625e+14,3.951548233481188125e+14,5.928010512851362712e-01
1.343558290220810742e+13,4.060992528422138125e+14,3.957576677863401250e+14,6.839316683203804370e-01
1.387664790981298633e+13,4.067301593342190625e+14,3.963525053114758750e+14,6.955721365852580718e-01
1.433219225503569922e+13,4.073885618648951250e+14,3.969726056703416875e+14,7.120117821073432829e-01
1.480269126739489844e+13,4.080316176638824375e+14,3.975775875073141875e+14,7.789882094126319156e-01
1.528863588058716797e+13,4.086224520223703125e+14,3.981328115195977500e+14,8.640448331127714710e-01
1.579053314474167969e+13,4.091781724128114375e+14,3.986544298189318750e+14,9.234737822190670631e-01
1.630890675549308398e+13,4.097275481844439375e+14,3.991694742266429375e+14,9.526525669297918331e-01
1.684429760042297656e+13,4.102841705131493750e+14,3.996906674070988125e+14,9.672907163923951668e-01
1.739726432343790234e+13,4.108525751700884375e+14,4.002222153528132500e+14,9.755469561973075798e-01
1.796838390767716016e+13,4.114363467124321875e+14,4.007674177886612500e+14,9.753187857525589255e-01
1.855825227755495312e+13,4.120430873301717500e+14,4.013333062820556875e+14,9.502495965970136904e-01
1.916748492056799219e+13,4.127006733162717500e+14,4.019457634078518125e+14,8.503024659984519396e-01
1.979671752951325000e+13,4.135356538997690000e+14,4.027223267636841250e+14,6.546604677718040888e-01
2.044660666579087500e+13,4.148329525745575000e+14,4.039270844208210625e+14,4.554484433124288412e-01
