R [km],M [Msun],P_div_c2 [g/cm^3]
1.102722448979591974e+01,1.981536251827704653e+00,9.449170501631563750e+14
1.099889795918367419e+01,1.979266030023512757e+00,9.656293533982965000e+14
1.097020408163265337e+01,1.976920647897460359e+00,9.867956642156117500e+14
1.094083673469387818e+01,1.974431930334643148e+00,1.008425934327493250e+15
1.091161224489796133e+01,1.971947470316076867e+00,1.030530333584935125e+15
1.088818367346938842e+01,1.969447051093473622e+00,1.053119254759054750e+15
1.085477551020408171e+01,1.966814686147337898e+00,1.076203318427466750e+15
1.083297959183673420e+01,1.964070467258175468e+00,1.099793377967699125e+15
1.080657142857143072e+01,1.961454300793114447e+00,1.123900524660134000e+15
1.078951020408163330e+01,1.958785649650990779e+00,1.148536092902732500e+15
1.077069387755102170e+01,1.955960061569527175e+00,1.173711665540132250e+15
1.075879591836734761e+01,1.953407802347187250e+00,1.199439079309511250e+15
1.075293877551020394e+01,1.950646437315050719e+00,1.225730430405823500e+15
1.074069387755102056e+01,1.947895656375442375e+00,1.252598080169065500e+15
1.073730612244898097e+01,1.945041122141860868e+00,1.280054660896163500e+15
1.072679591836734758e+01,1.941901705290210556e+00,1.308113081780259000e+15
1.072257142857143108e+01,1.938563446445048744e+00,1.336786534980201750e+15
1.071351020408163457e+01,1.935188742464787115e+00,1.366088501823086250e+15
1.070395918367347043e+01,1.931744135995638212e+00,1.396032759142723250e+15
1.070012244897959341e+01,1.928333254739733160e+00,1.426633385757044000e+15
1.069869387755102075e+01,1.925752845038142480e+00,1.457904769087535000e+15
1.069551020408163389e+01,1.923724369832355396e+00,1.489861611923722500e+15
1.069459183673469482e+01,1.922553649020010358e+00,1.522518939335933750e+15
1.069379591836734811e+01,1.922324684037756803e+00,1.555892105739607750e+15
1.069687755102040860e+01,1.922279894364339992e+00,1.589996802114457750e+15
1.070057142857143084e+01,1.922467312815177909e+00,1.624849063381847750e+15
1.070265306122449012e+01,1.922671335289382277e+00,1.660465275943871750e+15
1.070185714285714340e+01,1.922957472103726584e+00,1.696862185387748750e+15
1.070193877551020378e+01,1.923219728761419889e+00,1.734056904359033000e+15
